treatment,y1,y2,y3,y4
1,25.37627047,24.74406017,0,0.05838577
1,18.29022789,25.69326259,1,3.94E-06
1,22.23143321,25.23527167,0,0.096425973
1,27.09221429,24.00281311,0,0.000137196
1,28.07603134,24.24265877,1,0.344842065
1,27.98339512,26.10131045,0,1.81E-05
1,21.31150657,23.62542819,1,0.130713437
1,34.53467249,25.85940374,1,0.310309335
1,29.78261805,23.53619145,0,0.14413966
1,26.94354418,25.52759562,1,0.004586835
1,29.7731801,24.09956106,1,0.557164489
1,22.44473229,25.13969245,0,2.06E-05
1,32.35815296,26.68570458,0,1.72E-08
1,26.04069178,25.35573268,0,0.000277175
1,26.49588831,24.55530191,0,0.007705101
1,28.48254049,25.47113088,1,0.080914628
1,24.33329364,24.58954324,1,0.306760322
1,22.79695274,25.1943051,1,1.601857155
1,20.83823823,24.13980613,0,0.4131176
1,19.44781454,24.88191446,0,0.000698599
1,23.73620934,24.30308312,0,2.192186215
1,22.0877067,24.65783215,0,5.66E-11
1,24.05956583,25.62889749,0,0.631910267
1,22.6235491,26.31271905,1,6.88E-08
1,26.6952811,24.58319158,1,0.00010748
1,23.91441276,25.52401766,0,0.005178865
1,25.71538302,24.84841311,0,0.035307055
1,25.19471912,24.34470872,1,0.009276184
1,24.56913957,25.01798091,0,0.149404899
1,31.93146821,24.84748354,0,0.282207214
1,30.73717398,23.71469887,0,0.03279039
1,24.35019534,23.73636688,0,0.008381163
1,28.31691918,25.36767043,0,0.372165137
1,21.69389514,24.34480411,0,8.91E-08
1,22.19901886,23.15273733,1,0.000382822
1,25.01902779,24.00379702,1,0.000112615
1,27.05462189,24.56744031,0,0.373201841
1,23.56730198,25.30179066,0,3.03E-10
1,26.82153521,26.12725239,1,0.454826714
1,23.84697369,26.23548036,1,0.054510419
1,25.88004635,22.36574787,0,4.48E-06
1,25.13563445,25.30033825,0,1.58E-06
2,12.88536775,17.57235674,1,0.593822574
2,8.473080065,18.11597408,0,0.000223603
2,13.63842673,10.0990171,0,0.001459479
2,3.44828007,1.732855823,0,1.06E-06
2,14.85724498,21.68899831,0,0.022504376
2,17.14906727,15.69689683,0,0.614039017
2,13.54697791,10.80283582,0,7.11E-10
2,9.134066208,2.479754664,0,2.94E-09
2,5.342174067,10.99031454,0,0.064409796
2,11.71331251,19.76236875,1,1.33E-05
2,5.859857457,10.94267378,0,3.96E-10
2,14.49826152,11.73302582,0,3.52E-06
2,8.084087329,11.23531162,1,0.02992118
2,14.83338829,11.46523957,0,0.005256545
2,13.17191583,7.296231642,0,0.001410818
2,9.377759837,17.56146422,1,0.039556901
2,8.239314145,-0.072228825,0,0.5771954
2,8.493180654,11.31178495,1,0.360767884
2,13.7061499,12.47430772,0,0.014234488
2,10.83697048,19.64056178,1,7.00E-10
2,12.1095291,14.48327491,1,1.08E-05
2,3.422000198,15.59329723,0,0.953303834
2,10.49445394,9.934931366,0,0.007987841
2,5.584173917,20.46409896,0,2.56E-07
2,10.75940364,8.594008271,0,7.98E-05
2,13.34074464,5.208440612,1,0.306219033
2,8.997057845,14.35652991,0,1.12E-06
2,15.63238925,13.97361274,0,0.004691039
2,4.993603467,12.42523442,0,1.155719626
2,13.5122542,10.49488028,0,1.26E-05
2,11.55200119,5.340636161,1,3.75E-07
2,16.78616548,-3.820235912,0,6.84E-09
2,9.904323299,11.14932899,0,1.04E-06
2,10.1471748,12.10472293,0,0.0033612
2,9.224065258,15.37786823,0,0.001580306
2,9.823168607,0.71442505,0,5.36E-05
2,14.97962931,14.00265697,0,4.74E-11
2,3.105341356,9.184158587,0,1.62E-05
2,10.60449945,19.65684924,0,0.313025114
2,4.991126749,12.86838526,0,0.000357481
2,15.81007154,16.81316946,1,8.60E-09
2,10.71059299,10.84301408,0,3.94E-07
3,43.45364076,28.70765379,1,0.427286383
3,46.11165769,36.78666723,1,0.0135533
3,49.04521111,56.65210901,0,0.508931177
3,47.02651309,41.32776543,1,0.001985629
3,42.45138961,33.12053093,0,1.030876267
3,45.40613287,34.52621964,0,0.569488622
3,46.87234163,35.85727462,0,2.64E-05
3,47.9528442,30.25472331,0,0.016496144
3,43.56722758,42.86460896,0,0.349845058
3,43.34183002,36.96023265,0,0.000484971
3,39.76612336,27.3908942,0,0.192313122
3,41.41539033,46.48297864,0,0.082051313
3,42.79926035,55.92504037,1,0.020058694
3,47.19936156,45.68441592,1,0.001961592
3,41.97860098,55.04759771,0,0.165750693
3,42.61252979,59.76926941,1,0.027670341
3,34.71771092,49.60232772,0,0.248542826
3,45.59858642,25.83876873,1,0.002201281
3,52.61832364,54.37874596,1,0.140508999
3,40.41057288,48.96809428,1,0.365959362
3,41.22892025,51.46264272,1,0.163081249
3,46.90250939,48.72969426,1,0.278339876
3,37.85187542,49.61407361,1,0.007851335
3,47.39271265,54.35106203,1,0.317035499
3,43.31876999,57.66301374,1,0.008405083
3,44.98320223,34.01208194,0,0.195404768
3,36.69170173,46.14821616,0,0.002081878
3,48.90993908,42.64189553,1,0.083854484
3,53.49294751,23.01288353,0,0.479335702
3,45.29743411,33.18359739,1,0.037175472
3,41.4313851,52.53331937,1,0.061754585
3,40.54043532,45.08107805,0,0.072873988
3,45.47362058,32.32454413,1,0.027831156
3,37.55534544,40.49948026,1,0.025420393
3,45.51778948,37.87905493,0,5.73E-06
3,43.75709122,32.02997108,1,0.119353668
